NO;ITEM DESIGN;URAIAN DESIGN;SATUAN
41;PP-CD-IN;Jasa pemasangan Pipe Protection Indoor Cable (Pvc White) High Impact Conduit 20 Mm;meter
42;PP-CD-OUT;Jasa pemasangan Pipe Protection Outdoor Cable (Pvc Black) High Impact Conduit 20 Mm;meter
43;HDPE-40-33;Jasa pemasangan Pipa Hdpe 40/33 Mm 1 Pipa Dengan Kedalaman 1,5 Meter dan warna identitas Kuning strip Biru;meter
44;TT-NP;Jasa pemasangan Temberang Tarik;pcs
45;GB-0.1-OHM;Jasa pemasangan Grounding 1 titik rod pada FATdengan tahanan maks 3 ohm;pcs
46;GB-0.2-OHM;Jasa pemasangan Grounding 3 titik rod pada FDT dengan tahanan maks 2 ohm;pcs
47;GB-0.3-OHM;Jasa pemasangan Grounding 5 titik rod pada FDT dengan tahanan maks 1 ohm;pcs
81;RP-GALVANIS;Jasa Pemasangan Riser Pipe Untuk Pengamanan Kabel Optik Ke FDT Pole / Titik Naik Ku Diameter 2 Inch Panjang 3 Meter;pcs
82;ACC-STAINLESS BELT;Jasa Pemasangan Aksesoris Tiang Besi Stainless Belt dan Pengunci;pcs
83;ACC-SUSPENSION AYUN;Jasa Pemasangan Aksesoris Tiang Besi Suspension Ayun;pcs
84;ACC-HELLICAL;Jasa Pemasangan Aksesoris Tiang Besi Helycal Cable;pcs
85;ACC-ANCHORING;Jasa Pemasangan Aksesoris Tiang Besi Penguat Fiber Optik Figure-8;pcs
86;ACC-Bracket;Jasa Pemasangan Aksesoris Tiang Besi Anchoring/ Bracket A;pcs
87;ACC-POLESTRAP SPIRAL;Jasa Pemasangan Aksesoris Tiang Besi Polestrap Spiral Untuk Penambatan Dropcore;pcs
97;PIPE-BRIDGE;"jasa Pemasangan Pipa galvanis dengan ukuran diameter 5"" pada jembatan berikut dengan penyambungan pipa dan cat identitas INTERNUSA GROUP";meter
